name,type,description
Beef,protein,A red meat often eaten in the form of steaks even if other means do exist (eg. stews).
Chicken,protein,A common bird often commercially available and flexible in terms of culinary applications.
Pork,protein,A red meat from pigs and remains commonplace for many households.
Goat,protein,A less-common red meat that remains tough yet tasty.
Tuna,protein,A fish eaten for its tougher texture.
Salmon,protein,A common fish well known by many.
Tofu,protein,A substitute for meat-based products.
Avocado,fruit,An oily yet popular fruit often promoted for its health
Tomato,fruit,Despite wide-spread debate amongst many; it can be classified as a fruit even if its culinary uses are more akin to vegetables.
Cherry,fruit,A vivid and memorable fruit that can just pop in your mouth.
Blueberry,fruit,A berry that still remains popular in today's age.
Apple,fruit,Encompasses a wide range; from sweet and tart to bitter -- an apple can please just about anyone.
Grape,fruit,A fruit often associated with wine even it has more benefits to the common person.
Banana,fruit,A fruit with various flavors; all of which depend on how long the consumer waits for it to ripen.
Corn,vegetable,Best served when grilled.
Onion,vegetable,A versatile vegetable when diced; cut; raw; or even turned into a paste.
Spinach,vegetable,A vegetable able to be cut up and sauteed to perfection.
Brocoli,vegetable,Despite its lack of popularity among the youth; it remains a healthy item.
Carrot,vegetable,Stiff and tough fibers make it difficult to chew directly; though not impossible.
Bell Pepper,vegetable,The least spicy of the peppers; many simply use it for its own simple taste and crunch. 
Lettuce,vegetable,A watery vegetable often added to many salads for its crunchy textre.
