name,description,foods
Vitamin B12,Used for producing red blood cells and supporting the nervous system.,Salmon Tuna Beef Pork Chicken
Vitamin B6,Helps with brain and nervous system development.,Salmon Beef Pork
Selenium,A nutrient involved in DNA creation and reproductive health.,Salmon Beef Tofu
Vitamin B3,Also called Niacin; a nutrient that helps to produce good types of cholesterol,Salmon Beef Pork
Omega-3 Fatty Acids,Healthy for the heart and helps the brain.,Salmon Tuna
Omega-6 Fatty Acids,Fat that can prevent heart disease and high cholesterol.,Tuna
Vitamin D,Assists in bone development and strengthening the immune system.,Tuna
Zinc,Can reduce inflammation and similar health conditions,Beef Pork Chicken Tofu
Iron,Helps with red blood cell production and some hormones,Beef Pork Chicken Tofu
Inapplicable,Has literally nothing,
